System ID,Firstnames,Lastname,Known As,Title,Post Nominals,Person Corporate Type,Record Type,Role,Gender
6225,George,Saintsbury,,,,Individual,Person,,
7076,Johnston,Kenyatta,Johnston,,,Individual,Person,,
7596,,Possibly Roth,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
6976,Richard,Easson,,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
8556,,,,,,,Person,,
1591,Faustino,Anderloni,,,,,Person,"Production Person (pri & sec) : Engraver, Production Person (secondary) : Engraver",
3855,George Paget,Thomson,,Professor,,Individual,Person,,
6398,J,Nicoll,J,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6408,Michael,Kinane,Michael,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
1340,John,Romney,,,,Individual,,"Production Person (pri & sec) : Engraver, Production Person (secondary) : Engraver",
1373,John Orrin,Smith,John Orrin,,,Individual,,"Production Person (pri & sec) : Engraver, Production Person (secondary) : Engraver",
1339,Joshua,Rolls,,,,Individual,,"Production Person (pri & sec) : Engraver, Production Person (secondary) : Engraver",
426,Francois Marie,Poncet  (inscribed F.M. PONCET A ROME 1771),,,,Individual,,"Production Person (pri & sec) : Sculptor, Production Person (primary) : Sculptor",Male
8262,Robert,Christison,Robert,Sir,"1st Baronet, FRSE, FRCSE, FRCPE",,Person,Subject Person : Sitter,Male
8121,Petrus,Arlensis de Scudalupis,,,,Individual,Person,Subject Person : Sitter,
1313,Allan,Ramsay,,,,Individual,,"Production Person (pri & sec), Production Person (pri & sec) : Copyist, Production Person (pri & sec) : probably, Production Person (pri & sec) : after, Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : probably, Production Person (primary) : after, Production Person (primary) : Artist, Production Person (secondary) : Copyist",Male
2636,,Bonnel,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
4216,,Moller & Lohberg,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
5941,Mary,Edmond,Mary,,,,Person,"Production Person (pri & sec), Production Person (primary)",
